week_id,as_of_date,theme_id,accession,cik,company,symbol,in_universe,asset_id,form,filed_at,matched_terms,source_url
2026-W32,2026-08-08,high-speed-connectivity,0001628280-26-054595,0000850429,TREDEGAR CORP,TG,false,,8-K,2026-08-07,advanced packaging,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000850429&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0001628280-26-054581,0001680062,"ACM Research, Inc.",ACMR,false,,8-K,2026-08-07,advanced packaging,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001680062&type=8-K
2026-W32,2026-08-08,age-of-electricity,0000764622-26-000044,0000764622,PINNACLE WEST CAPITAL CORP,PNW,false,,8-K,2026-08-07,load growth,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000764622&type=8-K
2026-W32,2026-08-08,critical-minerals-security,0001193125-26-340529,0002102713,Kensington Capital Acquisition Corp. VI,KCA-UN,false,,8-K,2026-08-07,critical minerals,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002102713&type=8-K
2026-W32,2026-08-08,vertically-integrated-space,0001753539-26-000118,0001753539,BlackSky Technology Inc.,BKSY,false,,8-K,2026-08-06,satellite constellation,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001753539&type=8-K
2026-W32,2026-08-08,vertically-integrated-space,0001366868-26-000037,0001366868,"Globalstar, Inc.",GSAT,false,,8-K,2026-08-06,satellite constellation,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001366868&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0001907982-26-000127,0001907982,D-Wave Quantum Inc.,QBTS,false,,8-K,2026-08-06,advanced packaging,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001907982&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0001193125-26-337990,0000704532,ONTO INNOVATION INC.,ONTO,false,,8-K,2026-08-06,advanced packaging; silicon photonics,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000704532&type=8-K
2026-W32,2026-08-08,ai-physical-infrastructure,0001507605-26-000020,0001507605,"MARA Holdings, Inc.",MARA,false,,8-K,2026-08-06,data center capacity,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001507605&type=8-K
2026-W32,2026-08-08,age-of-electricity,0001710366-26-000053,0001710366,"Core Natural Resources, Inc.",CNR,false,,8-K,2026-08-06,baseload power,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001710366&type=8-K
2026-W32,2026-08-08,age-of-electricity,0001628280-26-053820,0001838406,BKV Corp,BKV,false,,8-K,2026-08-06,power purchase agreement,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001838406&type=8-K
2026-W32,2026-08-08,age-of-electricity,0001628280-26-053966,0001838406,BKV Corp,BKV,false,,8-K/A,2026-08-06,power purchase agreement,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001838406&type=8-K%2FA
2026-W32,2026-08-08,age-of-electricity,0000884614-26-000048,0000884614,UGI CORP /PA/,UGI,false,,8-K,2026-08-06,load growth,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000884614&type=8-K
2026-W32,2026-08-08,age-of-electricity,0001047862-26-000143,0001047862,CONSOLIDATED EDISON INC,ED,false,,8-K,2026-08-06,load growth,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001047862&type=8-K
2026-W32,2026-08-08,age-of-electricity,0001929561-26-000033,0001929561,"RXO, Inc.",RXO,false,,8-K,2026-08-06,load growth,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001929561&type=8-K
2026-W32,2026-08-08,advanced-nuclear-enablers,0001918080-26-000014,0001918080,"Deep Isolation Nuclear, Inc.",DBHL,false,,8-K,2026-08-06,nuclear fuel cycle,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001918080&type=8-K
2026-W32,2026-08-08,advanced-nuclear-enablers,0001628280-26-053897,0001065059,CENTRUS ENERGY CORP,LEU,true,leu,8-K,2026-08-06,small modular reactor; advanced reactor; uranium enrichment; HALEU,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001065059&type=8-K
2026-W32,2026-08-08,critical-minerals-security,0001140361-26-031551,0001530804,Tronox Holdings plc,TROX,false,,8-K,2026-08-06,critical minerals,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001530804&type=8-K
2026-W32,2026-08-08,critical-minerals-security,0001710366-26-000053,0001710366,"Core Natural Resources, Inc.",CNR,false,,8-K,2026-08-06,critical minerals,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001710366&type=8-K
2026-W32,2026-08-08,critical-minerals-security,0001104659-26-092049,0000101538,UNITED STATES ANTIMONY CORP,UAMY,false,,8-K,2026-08-06,critical minerals,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000101538&type=8-K
2026-W32,2026-08-08,critical-minerals-security,0001801368-26-000047,0001801368,MP Materials Corp. / DE,MP,true,mp,8-K,2026-08-06,rare earth magnets; neodymium; rare earth separation; magnet production,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001801368&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0001193125-26-335102,0001789029,"Aeva Technologies, Inc.",AEVA,false,,8-K,2026-08-05,silicon photonics,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001789029&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0001493152-26-036127,0001938569,Palomino Laboratories Inc.,PALX,false,,8-K,2026-08-05,silicon photonics,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001938569&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0001193125-26-335274,0001049502,MKS INC,MKSI,false,,8-K,2026-08-05,advanced packaging,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001049502&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0001193125-26-335408,0000029002,DIODES INC /DEL/,DIOD,false,,8-K,2026-08-05,advanced packaging,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000029002&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0001104659-26-091118,0000103145,VEECO INSTRUMENTS INC,VECO,false,,8-K,2026-08-05,advanced packaging; silicon photonics,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000103145&type=8-K
2026-W32,2026-08-08,high-speed-connectivity,0000720500-26-000009,0000720500,AMTECH SYSTEMS INC,ASYS,false,,8-K,2026-08-05,advanced packaging,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000720500&type=8-K
2026-W32,2026-08-08,ai-physical-infrastructure,0001437749-26-025961,0001296445,"ORMAT TECHNOLOGIES, INC.",ORA,false,,8-K,2026-08-05,grid-scale power,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001296445&type=8-K
2026-W32,2026-08-08,ai-physical-infrastructure,0001193125-26-335293,0001826600,"Montauk Renewables, Inc.",MNTK,false,,8-K,2026-08-05,switchgear,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001826600&type=8-K
2026-W32,2026-08-08,ai-physical-infrastructure,0000918541-26-000065,0000918541,NN INC,NNBR,false,,8-K,2026-08-05,liquid cooling,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000918541&type=8-K
2026-W32,2026-08-08,ai-physical-infrastructure,0001020569-26-000068,0001020569,IRON MOUNTAIN INC,IRM,false,,8-K,2026-08-05,data center capacity,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001020569&type=8-K
2026-W32,2026-08-08,ai-physical-infrastructure,0001859392-26-000084,0001859392,Galaxy Digital Inc.,GLXY,false,,8-K,2026-08-05,data center capacity; liquid cooling,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001859392&type=8-K
2026-W32,2026-08-08,age-of-electricity,0001493152-26-036097,0001846416,Hennessy Capital Investment Corp. VII,HVII,false,,8-K,2026-08-05,baseload power,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001846416&type=8-K
2026-W32,2026-08-08,age-of-electricity,0001822966-26-000086,0001822966,NUSCALE POWER Corp,SMR,true,smr,8-K,2026-08-05,power purchase agreement,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001822966&type=8-K
2026-W32,2026-08-08,age-of-electricity,0001083301-26-000162,0001083301,TERAWULF INC.,WULF,false,,8-K,2026-08-05,transmission capacity,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001083301&type=8-K
2026-W32,2026-08-08,advanced-nuclear-enablers,0001477932-26-004726,0001084554,LIGHTBRIDGE Corp,LTBR,false,,8-K,2026-08-05,HALEU,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001084554&type=8-K
2026-W32,2026-08-08,advanced-nuclear-enablers,0001628280-26-053433,0001065059,CENTRUS ENERGY CORP,LEU,true,leu,8-K,2026-08-05,uranium enrichment; HALEU,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001065059&type=8-K
2026-W32,2026-08-08,advanced-nuclear-enablers,0001822966-26-000086,0001822966,NUSCALE POWER Corp,SMR,true,smr,8-K,2026-08-05,small modular reactor,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001822966&type=8-K
2026-W32,2026-08-08,advanced-nuclear-enablers,0001104659-26-091278,0002089283,Eagle Nuclear Energy Corp.,NUCL,false,,8-K,2026-08-05,small modular reactor; advanced reactor,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002089283&type=8-K
